,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Latitude,Longitude
376,Novyy Urgal,99,RU,1593361513,94,56.84,1.7,51.07,132.56
377,Suba,100,PH,1593361513,77,80.67,4.41,10.84,121.01
378,Valparaíso,90,CL,1593361513,100,57.2,3.36,-33.04,-71.63
379,Coyhaique,75,CL,1593361071,68,28.4,3.36,-45.58,-72.07
380,Kokoda,50,PG,1593361513,72,72.14,1.32,-8.88,147.74
381,St. George's,20,GD,1593361513,74,86.0,19.46,12.06,-61.75
382,Moindou,0,NC,1593361513,93,57.2,2.24,-21.69,165.68
383,Letterkenny,90,IE,1593361513,93,55.4,34.45,54.95,-7.73
384,Znamenskoye,33,RU,1593361513,91,51.69,7.36,57.13,73.83
385,Kapoeta,2,SS,1593361514,46,84.13,5.93,4.77,33.59
386,Fukuechō,50,JP,1593361022,78,75.24,7.83,32.69,128.84
387,Healesville,0,AU,1593361514,99,41.0,2.08,-37.65,145.52
388,Ramnagar,21,IN,1593361514,59,84.85,8.97,29.4,79.12
389,Taoudenni,0,ML,1593361093,4,117.81,1.12,22.68,-3.98
390,Alihe,2,CN,1593361514,93,54.61,2.3,50.57,123.72
391,Manga,23,BF,1593361514,33,97.57,3.74,11.66,-1.07
392,Gillette,100,US,1593361514,69,68.0,8.99,44.29,-105.5
393,Río Cuarto,47,AR,1593361515,28,57.2,23.04,-33.13,-64.35
394,Kalāleh,40,IR,1593361515,51,80.6,9.17,37.38,55.49
395,Riohacha,100,CO,1593361321,59,88.5,19.51,11.54,-72.91
396,Norden,10,DE,1593361515,42,70.0,14.99,53.6,7.2
397,Nhulunbuy,75,AU,1593361515,83,73.4,6.93,-12.23,136.77
398,Willowmore,9,ZA,1593361515,67,45.86,8.43,-33.29,23.49
399,Kananga,68,CD,1593361515,38,84.96,1.21,-5.9,22.42
400,Novichikha,5,RU,1593361516,56,56.75,8.3,52.2,81.39
401,Gaziantep,0,TR,1593361239,31,91.4,9.17,37.06,37.38
402,Omboué,20,GA,1593361516,74,76.17,10.76,-1.57,9.26
403,Barguzin,58,RU,1593361516,77,61.9,0.25,53.62,109.62
404,North Augusta,20,US,1593361516,62,89.01,5.82,33.5,-81.97
405,Nsanje,89,MW,1593361516,41,79.86,2.77,-16.92,35.26
406,Sivas Province,0,TR,1593361354,59,66.2,20.8,39.79,37.0
407,Shakawe,0,BW,1593361517,23,68.88,3.36,-18.37,21.85
408,Broken Hill,21,AU,1593361101,65,41.0,6.93,-31.95,141.43
409,Rio Grande,0,BR,1593361047,62,59.0,2.24,-32.03,-52.1
410,Mumford,24,GH,1593361517,83,78.42,16.08,5.26,-0.76
411,Poum,4,NC,1593361517,70,71.2,9.66,-20.23,164.02
412,Nianzishan,8,CN,1593361517,80,62.94,6.06,47.52,122.88
413,San Fernando,90,PH,1593361518,94,77.0,4.7,15.03,120.69
414,Nelson Bay,44,AU,1593361083,93,48.99,8.05,-32.72,152.15
415,Mandāwar,39,IN,1593361518,30,97.66,3.31,29.5,78.13
416,Smithers,20,CA,1593360902,76,53.6,4.7,54.78,-127.17
417,Bilma,0,NE,1593361518,7,104.31,7.31,18.69,12.92
418,Minas de Barroterán,79,MX,1593361518,52,85.57,3.44,27.63,-101.28
419,Coos Bay,90,US,1593361516,93,57.0,6.93,43.37,-124.22
420,Kasongo-Lunda,26,CD,1593361518,25,89.91,2.33,-6.47,16.82
421,Erzin,0,TR,1593361518,87,78.01,10.0,36.96,36.2
422,Genhe,16,CN,1593361519,92,53.15,3.2,50.78,121.52
423,Port Hueneme,90,US,1593361366,77,68.0,3.36,34.15,-119.2
424,Bubaque,29,GW,1593361087,77,82.22,11.27,11.28,-15.83
425,Gympie,6,AU,1593361519,96,54.0,1.01,-26.19,152.66
426,Washington,90,US,1593361356,42,62.6,16.11,47.5,-120.5
427,Lang Son,51,VN,1593361519,90,77.5,2.84,21.83,106.73
428,Okhotsk,1,RU,1593361066,88,46.94,5.23,59.38,143.3
429,Ambon City,100,ID,1593361519,14,79.0,6.33,-3.7,128.18
430,Ayan,0,RU,1593361519,89,45.43,1.88,56.45,138.17
431,Arrondissement de Lure,90,FR,1593361520,60,68.0,8.05,47.75,6.5
432,Dauphin,90,CA,1593361520,93,64.4,4.7,51.15,-100.05
433,Dzhebariki-Khaya,0,RU,1593361520,63,62.94,0.74,62.22,135.8
434,Sakakah,0,SA,1593361520,12,98.6,14.99,29.97,40.21
435,Salym,100,RU,1593361067,96,47.43,6.78,60.06,71.48
436,Naryan-Mar,94,RU,1593361520,73,42.64,15.1,67.67,53.09
437,Maţāy,0,EG,1593361520,13,97.32,9.31,28.42,30.78
438,Thoen,14,TH,1593361520,83,77.7,2.51,17.61,99.22
439,Tessalit,23,ML,1593361521,7,109.87,10.78,20.2,1.01
440,Rocha,37,UY,1593361019,69,53.78,5.97,-34.48,-54.33
441,Finschhafen,99,PG,1593361521,79,77.88,8.08,-6.6,147.87
442,Sapa,100,PH,1593361521,85,78.37,6.91,5.15,120.32
443,Bereda,91,ES,1593361074,84,70.0,7.0,43.27,-7.54
444,Hirara,100,JP,1593361097,85,83.35,18.57,24.8,125.28
445,Roald,75,NO,1593361076,93,62.01,19.46,62.58,6.13
446,Clarence Town,28,AU,1593361521,93,48.99,8.05,-32.58,151.78
447,Xining,5,CN,1593361522,47,58.87,1.72,36.62,101.77
448,Santarém,75,BR,1593361522,94,77.0,4.7,-2.44,-54.71
449,Saiha,96,IN,1593361522,93,71.37,1.79,22.48,92.97
450,Shawnee,1,US,1593361263,70,84.2,14.99,39.05,-95.77
451,Colimes,75,EC,1593361522,74,80.01,3.36,-1.55,-80.02
452,El Vigia,96,VE,1593361522,67,84.33,5.1,8.62,-71.65
453,Antofagasta,75,CL,1593360804,67,59.0,3.36,-23.65,-70.4
454,Banda Aceh,88,ID,1593361522,82,80.47,10.18,5.56,95.32
455,Caohai,100,CN,1593361522,96,64.18,3.6,26.87,104.28
456,Los Llanos de Aridane,75,ES,1593361052,73,75.2,17.22,28.66,-17.92
457,Westport,20,US,1593361054,83,87.01,5.82,41.14,-73.36
458,Port Moresby,20,PG,1593361096,94,77.0,9.17,-9.44,147.18
459,Bad Hofgastein,83,AT,1593361523,86,66.0,1.61,47.17,13.1
460,Alibag,40,IN,1593361523,79,86.0,5.82,18.64,72.88
461,Gravdal,81,NO,1593361523,59,66.2,13.87,68.12,13.5
462,Mackenzie,90,CA,1593361523,81,53.6,11.41,55.3,-123.17
463,Tautira,20,PF,1593361228,83,69.8,2.24,-17.73,-149.15
464,Östersund,31,SE,1593361523,43,73.4,16.11,63.18,14.64
465,Banjar,40,ID,1593361524,100,80.6,6.93,-8.19,114.97
466,Moose Factory,1,CA,1593361103,72,66.2,5.82,51.26,-80.61
467,Kyshtovka,82,RU,1593361107,89,51.93,12.66,56.55,76.63
468,Charneca de Caparica,0,PT,1593361524,51,84.2,13.87,38.62,-9.19
469,Tigil',0,RU,1593361053,82,43.16,4.7,57.8,158.67
470,Mānsa,2,IN,1593361524,23,104.22,5.5,29.98,75.38
471,Phang Nga,40,TH,1593361524,100,77.0,2.24,8.45,98.53
472,Oranjemund,0,NA,1593361524,69,58.86,21.03,-28.55,16.43
473,Nanchang,100,CN,1593361525,72,83.73,9.71,28.68,115.88
474,Waipawa,20,NZ,1593361047,75,54.0,5.99,-41.41,175.52
475,Huanren,83,CN,1593361525,83,62.42,0.38,41.26,125.37
476,Vestmannaeyjar,40,IS,1593361084,87,60.8,3.36,63.44,-20.27
477,Luwingu,77,ZM,1593361525,44,70.54,3.47,-10.26,29.93
478,Hede,95,CN,1593361525,95,71.19,13.4,33.77,120.25
479,Ashtian,0,IR,1593361525,26,73.98,13.91,34.52,50.0
480,Adrar,0,MR,1593361078,6,112.48,13.0,20.5,-10.07
481,Ihlow,75,DE,1593361526,83,75.0,3.36,51.88,13.33
482,Nouadhibou,0,MR,1593361106,61,77.0,24.16,20.93,-17.03
483,Jalu,0,LY,1593361059,16,95.68,13.51,29.03,21.55
484,Kuching,20,MY,1593361526,88,80.6,2.89,1.55,110.33
485,General Roca,90,AR,1593361526,100,37.4,8.05,-39.03,-67.58
486,Wanxian,43,CN,1593361526,86,74.75,0.85,30.8,108.39
487,Baghdad,0,IQ,1593361473,17,102.2,4.7,33.34,44.4
488,Dongsheng,16,CN,1593361268,76,64.2,5.5,39.82,109.98
489,Biltine,56,TD,1593361527,23,97.63,7.0,14.53,20.92
490,Zhaotong,100,CN,1593361527,93,65.07,5.32,27.32,103.72
491,Richards Bay,18,ZA,1593361527,56,69.31,10.45,-28.78,32.04
492,Dois Córregos,40,BR,1593361527,73,71.6,8.05,-22.37,-48.38
493,Weimar,100,DE,1593361432,63,73.99,1.01,50.98,11.32
494,Uppsala County,86,SE,1593361527,50,82.0,13.87,60.0,17.75
495,Salinópolis,1,BR,1593361527,74,84.25,10.27,-0.61,-47.36
496,Belaya Gora,79,RU,1593361238,51,59.34,7.81,68.53,146.42
497,Hailey,90,US,1593361528,66,53.6,8.05,43.52,-114.32
498,Kamaishi,9,JP,1593361528,89,61.84,5.3,39.27,141.88
499,Don Luan,100,VN,1593361528,94,75.54,3.67,11.53,106.92
500,Inuvik,40,CA,1593361528,54,53.6,4.7,68.35,-133.72
501,Paralímni,0,CY,1593361528,74,95.0,20.8,35.04,33.98
502,Pangody,94,RU,1593361528,86,52.25,11.9,65.85,74.49
503,Sukumo,75,JP,1593361528,81,70.27,5.35,32.93,132.73
504,Vao,0,NC,1593361094,54,69.15,9.28,-22.67,167.48
505,São João da Barra,75,BR,1593361053,69,75.2,9.17,-21.64,-41.05
506,Olinda,75,BR,1593361529,88,77.0,13.87,-8.01,-34.86
507,Blagodatnoye,0,RU,1593361529,24,80.6,4.47,45.4,42.59
508,Kruisfontein,5,ZA,1593361022,72,54.34,16.15,-34.0,24.73
509,Nabire,100,ID,1593361529,89,75.81,2.89,-3.37,135.48
510,Livezi,0,RO,1593361529,37,86.0,8.05,44.85,23.82
511,Weinan,0,CN,1593361529,100,73.0,2.24,34.5,109.51
512,Diego de Almagro,100,CL,1593361529,24,69.28,4.45,-26.37,-70.05
513,Santa Maria,20,BR,1593361529,81,53.6,9.17,-29.68,-53.81
514,Grass Valley,32,US,1593361530,53,66.99,7.67,39.22,-121.06
515,Pangnirtung,48,CA,1593361058,62,48.31,4.32,66.15,-65.71
516,Linxia Chengguanzhen,0,CN,1593361045,66,62.4,2.37,35.6,103.21
517,Fevik,40,NO,1593361530,59,66.2,17.22,58.38,8.68
518,Shemonaīkha,91,KZ,1593361530,59,55.92,4.14,50.63,81.91
519,Mugur-Aksy,99,RU,1593361266,80,52.79,7.07,50.35,90.5
520,Atbasar,99,KZ,1593361530,82,59.45,18.01,51.8,68.33
521,Stornoway,100,GB,1593361531,93,57.0,12.75,58.21,-6.39
522,Kilindoni,0,TZ,1593361531,83,78.19,11.03,-7.91,39.67
523,Strezhevoy,20,RU,1593361531,82,59.0,13.42,60.73,77.59
524,Buala,28,SB,1593361531,77,80.44,3.6,-8.14,159.59
525,Karratha,11,AU,1593361521,56,67.1,1.3,-20.74,116.85
526,Phalodi,0,IN,1593361531,38,99.18,27.09,27.13,72.37
527,Huilong,92,CN,1593361235,97,79.0,14.36,31.81,121.66
528,Yangi Marg`ilon,0,UZ,1593361096,22,75.2,6.93,40.43,71.72
529,La Malbaie,100,CA,1593361532,80,64.47,7.78,47.66,-70.16
530,Urcos,43,PE,1593361532,44,59.0,2.24,-13.69,-71.62
531,Zaraza,28,VE,1593361532,61,88.16,6.71,9.35,-65.32
532,Ust'-Kulom,90,RU,1593361532,74,48.24,7.83,61.69,53.69
533,Morant Bay,20,JM,1593361532,70,89.6,21.92,17.88,-76.41
534,Sørland,33,NO,1593361058,82,57.2,12.75,67.67,12.69
535,Cockburn Town,5,TC,1593361532,80,82.27,12.62,21.46,-71.14
536,Ponta Delgada,40,PT,1593361067,83,71.6,6.93,37.73,-25.67
537,Kilakarai,47,IN,1593361533,60,87.87,13.98,9.23,78.78
538,Sambava,4,MG,1593361533,87,74.52,13.85,-14.27,50.17
539,Capitán Bado,30,PY,1593361533,68,67.24,8.93,-23.27,-55.53
540,Carutapera,12,BR,1593361533,57,88.39,7.99,-1.2,-46.02
541,Yeniseysk,51,RU,1593361533,55,63.59,6.49,58.45,92.17
542,Maningrida,61,AU,1593361073,85,69.8,10.31,-12.07,134.27
543,Keffi,40,NG,1593361533,69,82.4,6.93,8.85,7.87
544,Bhatkal,100,IN,1593361533,85,81.14,5.77,13.97,74.57
545,Byron Bay,17,AU,1593361254,93,50.0,5.82,-28.65,153.62
546,Batticaloa,91,LK,1593361534,76,84.56,4.83,7.71,81.69
547,Farsund,23,NO,1593361534,72,63.0,16.73,58.09,6.8
548,Mahabalipuram,40,IN,1593361534,78,82.4,4.7,12.63,80.17
549,Wilmington Island,75,US,1593361534,62,93.0,10.29,32.0,-80.97
550,Beloha,0,MG,1593361534,87,67.12,3.78,-25.17,45.05
551,Dubbo,0,AU,1593361534,93,41.0,9.17,-32.25,148.62
552,Kholodnyy,46,RU,1593361534,63,56.52,2.8,62.72,147.95
553,Kang,0,BW,1593361534,29,61.0,6.38,-23.68,22.79
554,Salekhard,99,RU,1593361535,57,55.54,11.18,66.53,66.6
555,Kutina,0,HR,1593361535,48,87.8,3.36,45.48,16.78
556,Taunggyi,100,MM,1593361535,100,64.56,3.2,20.78,97.03
557,Matagami,20,CA,1593361535,56,73.4,12.75,49.75,-77.63
558,Pozo Colorado,0,PY,1593361535,44,69.37,3.36,-23.49,-58.8
559,Gizo Government Station,57,SB,1593361536,77,81.34,6.78,-8.1,156.84
560,Katobu,99,ID,1593361536,93,73.76,1.77,-4.94,122.53
561,Taitung City,100,TW,1593361536,79,83.03,9.19,22.76,121.14
562,Nishihara,40,JP,1593361536,94,82.4,12.75,26.18,127.76
